iteration,epoch,mode,loss,value
0,0,val,render,0.09566149860620499
0,0,val,total,0.09566149860620499
100,0,train,eikonal,0.018434718251228333
100,0,train,render,0.3525729775428772
100,0,train,total,0.35441645979881287
200,1,train,eikonal,0.06797376275062561
200,1,train,render,0.33303797245025635
200,1,train,total,0.33983534574508667
300,2,train,eikonal,0.0005301333731040359
300,2,train,render,0.30252769589424133
300,2,train,total,0.30258071422576904
400,2,train,eikonal,0.0040439278818666935
400,2,train,render,0.28939807415008545
400,2,train,total,0.2898024618625641
500,3,train,eikonal,0.0013637850061058998
500,3,train,render,0.313058465719223
500,3,train,total,0.3131948411464691
600,4,train,eikonal,0.0005588300991803408
600,4,train,render,0.28413668274879456
600,4,train,total,0.2841925621032715
700,5,train,eikonal,0.0016313469968736172
700,5,train,render,0.31533530354499817
700,5,train,total,0.3154984414577484
800,5,train,eikonal,0.0007765679038129747
800,5,train,render,0.28741344809532166
800,5,train,total,0.287491112947464
900,6,train,eikonal,0.0006247537676244974
900,6,train,render,0.2932400703430176
900,6,train,total,0.2933025360107422
1000,7,train,eikonal,0.000193196494365111
1000,7,train,render,0.34659475088119507
1000,7,train,total,0.3466140627861023
1100,8,train,eikonal,0.0005809094873256981
1100,8,train,render,0.26980018615722656
1100,8,train,total,0.2698582708835602
1200,8,train,eikonal,0.00027895846869796515
1200,8,train,render,0.3048948645591736
1200,8,train,total,0.30492275953292847
1300,9,train,eikonal,0.001022913260385394
1300,9,train,render,0.2738754153251648
1300,9,train,total,0.27397769689559937
1400,10,train,eikonal,0.00029636401450261474
1400,10,train,render,0.30772265791893005
1400,10,train,total,0.3077522814273834
1500,10,train,eikonal,0.0003684156690724194
1500,10,train,render,0.3268887400627136
1500,10,train,total,0.3269255757331848
1600,11,train,eikonal,0.0005031437613070011
1600,11,train,render,0.2828906178474426
1600,11,train,total,0.28294092416763306
1700,12,train,eikonal,0.0009220497449859977
1700,12,train,render,0.2674189805984497
1700,12,train,total,0.26751118898391724
1800,13,train,eikonal,0.0014029386220499873
1800,13,train,render,0.2740536034107208
1800,13,train,total,0.2741938829421997
1900,13,train,eikonal,0.0006865629693493247
1900,13,train,render,0.2905115485191345
1900,13,train,total,0.29058021306991577
2000,14,train,eikonal,0.008534245193004608
2000,14,train,render,0.3071768283843994
2000,14,train,total,0.30803024768829346
2100,15,train,eikonal,0.00672093965113163
2100,15,train,render,0.3063812255859375
2100,15,train,total,0.3070533275604248
2200,16,train,eikonal,0.012336134910583496
2200,16,train,render,0.3268668055534363
2200,16,train,total,0.32810041308403015
2300,16,train,eikonal,0.006746002938598394
2300,16,train,render,0.29050689935684204
2300,16,train,total,0.2911815047264099
2400,17,train,eikonal,0.010281738825142384
2400,17,train,render,0.2846125364303589
2400,17,train,total,0.2856407165527344
2500,18,train,eikonal,0.0023113470524549484
2500,18,train,render,0.27511316537857056
2500,18,train,total,0.2753443121910095
2600,18,train,eikonal,0.0013552149757742882
2600,18,train,render,0.2774478793144226
2600,18,train,total,0.27758339047431946
2700,19,train,eikonal,0.0035902895033359528
2700,19,train,render,0.27725285291671753
2700,19,train,total,0.2776118814945221
2800,20,train,eikonal,0.007775071542710066
2800,20,train,render,0.32752665877342224
2800,20,train,total,0.3283041715621948
2900,21,train,eikonal,0.008295385167002678
2900,21,train,render,0.3250574469566345
2900,21,train,total,0.325886994600296
3000,21,train,eikonal,0.008285988122224808
3000,21,train,render,0.30976057052612305
3000,21,train,total,0.31058916449546814
3100,22,train,eikonal,0.002818688750267029
3100,22,train,render,0.23002155125141144
3100,22,train,total,0.23030342161655426
3200,23,train,eikonal,0.00971024576574564
3200,23,train,render,0.30661535263061523
3200,23,train,total,0.3075863718986511
3300,24,train,eikonal,0.0134637001901865
3300,24,train,render,0.28608644008636475
3300,24,train,total,0.28743281960487366
3400,24,train,eikonal,0.009104052558541298
3400,24,train,render,0.2960190773010254
3400,24,train,total,0.2969294786453247
3500,25,train,eikonal,0.01204083301126957
3500,25,train,render,0.28662383556365967
3500,25,train,total,0.28782790899276733
3600,26,train,eikonal,0.0031074904836714268
