iteration,epoch,mode,loss,value
0,0,val,render,0.17717434465885162
0,0,val,total,0.17717434465885162
100,0,train,eikonal,0.00446967501193285
100,0,train,render,0.5517297983169556
100,0,train,total,0.5521767735481262
200,0,train,eikonal,0.00598424207419157
200,0,train,render,0.6029154062271118
200,0,train,total,0.6035138368606567
0,0,val,render,0.30584022402763367
0,0,val,total,0.30584022402763367
100,0,train,eikonal,0.004209284204989672
100,0,train,render,0.887836754322052
100,0,train,total,0.8882576823234558
200,0,train,eikonal,0.004441596567630768
200,0,train,render,0.6987332701683044
200,0,train,total,0.6991774439811707
300,0,train,eikonal,0.00326218968257308
300,0,train,render,0.23316724598407745
300,0,train,total,0.23349346220493317
400,0,train,eikonal,0.001358616165816784
400,0,train,render,0.14995920658111572
400,0,train,total,0.15009507536888123
500,1,train,eikonal,0.009835716336965561
500,1,train,render,0.1423824429512024
500,1,train,total,0.1433660089969635
600,1,train,eikonal,0.013809261843562126
600,1,train,render,0.23922814428806305
600,1,train,total,0.2406090646982193
700,1,train,eikonal,0.006823611445724964
700,1,train,render,0.16305986046791077
700,1,train,total,0.16374221444129944
800,1,train,eikonal,0.0065447427332401276
800,1,train,render,0.1343400478363037
800,1,train,total,0.1349945217370987
900,1,train,eikonal,0.007545135449618101
900,1,train,render,0.14373379945755005
900,1,train,total,0.14448831975460052
1000,2,train,eikonal,0.004948891699314117
1000,2,train,render,0.110721655189991
1000,2,train,total,0.11121654510498047
1100,2,train,eikonal,0.009492679499089718
1100,2,train,render,0.14973041415214539
1100,2,train,total,0.15067967772483826
1200,2,train,eikonal,0.011081915348768234
1200,2,train,render,0.1686076670885086
1200,2,train,total,0.16971585154533386
1300,2,train,eikonal,0.012812934815883636
1300,2,train,render,0.1783953607082367
1300,2,train,total,0.17967665195465088
1400,2,train,eikonal,0.01473301276564598
1400,2,train,render,0.19192399084568024
1400,2,train,total,0.19339729845523834
1500,3,train,eikonal,0.010566978715360165
1500,3,train,render,0.13785453140735626
1500,3,train,total,0.13891123235225677
1600,3,train,eikonal,0.013405969366431236
1600,3,train,render,0.165276437997818
1600,3,train,total,0.1666170358657837
1700,3,train,eikonal,0.01578289270401001
1700,3,train,render,0.18392792344093323
1700,3,train,total,0.185506209731102
1800,3,train,eikonal,0.005742753855884075
1800,3,train,render,0.11169922351837158
1800,3,train,total,0.11227349936962128
1900,3,train,eikonal,0.009768128395080566
1900,3,train,render,0.12190892547369003
1900,3,train,total,0.12288574129343033
2000,4,train,eikonal,0.011442841961979866
2000,4,train,render,0.14444419741630554
2000,4,train,total,0.1455884873867035
2100,4,train,eikonal,0.013760397210717201
2100,4,train,render,0.13191452622413635
2100,4,train,total,0.13329055905342102
2200,4,train,eikonal,0.014015654101967812
2200,4,train,render,0.16065654158592224
2200,4,train,total,0.16205810010433197
2300,4,train,eikonal,0.017075087875127792
2300,4,train,render,0.1518830806016922
2300,4,train,total,0.153590589761734
2400,5,train,eikonal,0.010486774146556854
2400,5,train,render,0.12108033895492554
2400,5,train,total,0.12212901562452316
2500,5,train,eikonal,0.01771751046180725
2500,5,train,render,0.16181939840316772
2500,5,train,total,0.1635911464691162
2600,5,train,eikonal,0.017317961901426315
2600,5,train,render,0.1486661732196808
2600,5,train,total,0.15039797127246857
2700,5,train,eikonal,0.02174200490117073
2700,5,train,render,0.14512547850608826
2700,5,train,total,0.14729967713356018
2800,5,train,eikonal,0.007991508580744267
2800,5,train,render,0.11107531189918518
2800,5,train,total,0.11187446117401123
2900,6,train,eikonal,0.018671046942472458
2900,6,train,render,0.1308954656124115
2900,6,train,total,0.13276256620883942
3000,6,train,eikonal,0.02236545830965042
3000,6,train,render,0.15218248963356018
3000,6,train,total,0.15441903471946716
3100,6,train,eikonal,0.014800943434238434
3100,6,train,render,0.11257560551166534
3100,6,train,total,0.11405570060014725
3200,6,train,eikonal,0.0092115867882967
3200,6,train,render,0.1203526183962822
3200,6,train,total,0.12127377837896347
